Stream,Year,Month,Counter,Symmetry,#Solutions,Minutes,Difficulty
1,2014,4,26,none,1,4.358948,0
1,2014,4,27,none,1,4.605811,0
1,2014,4,28,blockwise-broken,1,4.561031,0
1,2014,4,29,diagonal-broken,1,9.902646,1
1,2014,4,30,classic-broken,1,8.674266,1
1,2014,4,31,blockwise-broken,1,5.288506,0
1,2014,4,32,blockwise-broken,1,4.687122,0
1,2014,4,33,double mirror-broken,1,5.673720,0
1,2014,4,34,blockwise-broken,1,4.872089,0
1,2014,4,35,mirror-broken,1,4.702940,0
1,2014,4,36,double mirror-broken,1,6.991669,0
1,2014,4,37,classic-broken,1,7.362602,0
1,2014,4,38,diagonal-broken,1,9.091461,1
1,2014,4,39,classic-broken,2,11.656868,1
1,2014,4,40,none,1,4.527475,0
1,2014,4,41,diagonal-broken,1,15.913095,1
1,2014,4,42,diagonal-broken,1,15.389873,1
1,2014,4,43,none,3,8.342366,0
1,2014,4,44,mirror-broken,1,12.924045,1
1,2014,4,45,classic-broken,1,11.824619,1
1,2014,4,46,classic-broken,1,5.144758,0
1,2014,4,47,diagonal-broken,1,4.311797,0
1,2014,4,48,mirror-broken,1,9.961749,1
1,2014,4,49,diagonal-broken,1,21.152918,1
1,2014,4,50,classic-broken,1,4.920530,0
1,2014,4,51,rotational-broken,1,5.492228,0
1,2014,4,52,blockwise-broken,1,4.355358,0
1,2014,4,53,classic-broken,1,13.097756,1
1,2014,4,54,none,2,7.540495,0
1,2014,4,55,classic-broken,1,11.371984,1
1,2014,4,56,classic-broken,1,12.242172,1
1,2014,4,57,classic-broken,1,4.229355,0
1,2014,4,58,none,1,3.865121,0
1,2014,4,59,diagonal-broken,1,10.187430,1
1,2014,4,60,mirror-broken,3,7.636510,0
1,2014,4,61,blockwise-broken,1,15.296869,1
1,2014,4,62,mirror-broken,1,3.673392,0
1,2014,4,63,diagonal-broken,1,25.791450,1
1,2014,4,64,mirror-broken,1,5.533132,0
1,2014,4,65,classic-broken,1,11.675764,1
1,2014,4,66,rotational-broken,1,8.894196,1
1,2014,4,67,mirror-broken,1,4.391218,0
1,2014,4,68,diagonal-broken,1,41.821903,1
1,2014,4,69,classic-broken,1,3.873507,0
1,2014,4,70,mirror-broken,1,11.667035,1
1,2014,4,71,diagonal-broken,1,7.633341,0
1,2014,4,72,none,1,4.502955,0
1,2014,4,73,none,1,4.510499,0
1,2014,4,74,mirror-broken,1,5.072563,0
1,2014,4,75,mirror-broken,1,6.164240,0
1,2014,4,76,none,1,4.156900,0
1,2014,4,77,diagonal-broken,1,5.715545,0
1,2014,4,78,mirror-broken,1,5.625821,0
1,2014,4,79,none,1,4.611783,0
1,2014,4,80,none,1,10.855416,1
1,2014,4,81,mirror,1,7.466628,1
1,2014,4,82,mirror-broken,1,4.864890,0
1,2014,4,83,mirror-broken,1,18.800657,1
1,2014,4,84,classic-broken,1,14.548408,1
1,2014,4,85,mirror-broken,1,9.444910,1
1,2014,4,86,rotational-broken,2,13.920705,1
1,2014,4,87,diagonal-broken,1,11.528385,1
1,2014,4,88,blockwise-broken,1,12.622284,1
1,2014,4,89,blockwise-broken,1,24.955643,1
1,2014,4,90,none,1,6.342855,0
1,2014,4,91,diagonal-broken,1,7.315135,0
1,2014,4,92,diagonal-broken,1,3.622986,0
1,2014,4,93,mirror-broken,1,7.235771,0
1,2014,4,94,none,1,33.001165,1
1,2014,4,95,none,1,12.054787,1
1,2014,4,96,classic-broken,1,5.162789,0
1,2014,4,97,none,1,9.489274,1
1,2014,4,98,rotational,1,1.703200,0
1,2014,4,99,classic-broken,1,5.637873,0
1,2014,4,100,none,1,15.274532,1
1,2014,5,1,blockwise-broken,1,4.874269,0
1,2014,5,2,diagonal-broken,1,4.613502,0
1,2014,5,3,mirror-broken,1,10.070778,1
1,2014,5,4,classic-broken,1,4.303607,0
1,2014,5,5,mirror-broken,1,4.078099,0
1,2014,5,6,classic-broken,1,24.803685,1
1,2014,5,7,mirror-broken,1,4.455556,0
1,2014,5,8,diagonal-broken,1,16.123155,1
1,2014,5,9,classic-broken,1,21.524936,1
1,2014,5,10,mirror-broken,1,5.870976,0
1,2014,5,11,mirror-broken,1,17.471314,1
1,2014,5,12,classic-broken,1,7.425146,0
1,2014,5,13,classic-broken,1,5.417745,0
1,2014,5,14,classic-broken,1,9.270266,1
1,2014,5,15,blockwise-broken,1,5.049031,0
1,2014,5,16,mirror-broken,1,4.762103,0
1,2014,5,17,none,1,9.373463,1
1,2014,5,18,diagonal-broken,1,11.394132,1
1,2014,5,19,classic-broken,1,9.992322,1
1,2014,5,20,diagonal-broken,1,31.980359,1
1,2014,5,21,mirror-broken,1,7.362636,0
1,2014,5,22,none,1,5.597188,0
1,2014,5,23,diagonal-broken,1,2.966375,0
1,2014,5,24,rotational-broken,1,3.755983,0
1,2014,5,25,mirror-broken,1,6.615825,0
1,2014,5,26,none,1,13.378156,1
1,2014,5,27,double mirror-broken,2,6.234701,0
1,2014,5,28,none,1,5.392540,0
1,2014,5,29,blockwise-broken,1,6.558765,0
1,2014,5,30,blockwise-broken,1,4.381802,0
1,2014,5,31,classic-broken,1,17.437744,1
1,2014,5,32,classic-broken,1,21.385267,1
1,2014,5,33,classic-broken,1,3.868905,0
1,2014,5,34,classic-broken,1,5.846627,0
1,2014,5,35,none,1,3.277326,0
1,2014,5,36,none,1,4.271537,0
1,2014,5,37,classic-broken,1,6.084642,0
1,2014,5,38,double mirror-broken,1,4.177394,0
1,2014,5,39,diagonal-broken,1,15.114403,1
1,2014,5,40,classic-broken,1,4.577339,0
1,2014,5,41,classic-broken,1,4.014272,0
1,2014,5,42,none,2,8.250535,0
1,2014,5,43,rotational-broken,1,9.966449,1
1,2014,5,44,none,1,5.771946,0
1,2014,5,45,double mirror-broken,1,9.262227,0
1,2014,5,46,diagonal-broken,1,4.854874,0
1,2014,5,47,double mirror-broken,1,6.190673,0
1,2014,5,48,blockwise-broken,1,4.551113,0
1,2014,5,49,classic-broken,1,7.710901,1
1,2014,5,50,mirror-broken,1,22.881660,1
1,2014,5,51,none,2,6.561802,0
1,2014,5,52,blockwise-broken,1,20.920210,1
1,2014,5,53,diagonal-broken,1,10.347751,1
1,2014,5,54,none,1,4.235898,0
1,2014,5,55,diagonal-broken,1,5.940340,0
1,2014,5,56,blockwise-broken,1,24.761976,1
1,2014,5,57,none,1,31.999963,1
1,2014,5,58,diagonal-broken,1,2.960560,0
1,2014,5,59,mirror-broken,1,5.422221,0
1,2014,5,60,diagonal-broken,1,3.411510,0
1,2014,5,61,classic-broken,1,20.014175,1
1,2014,5,62,mirror-broken,1,10.411227,1
1,2014,5,63,rotational-broken,1,5.082983,0
1,2014,5,64,mirror-broken,1,10.425287,1
1,2014,5,65,none,1,4.742784,0
1,2014,5,66,diagonal,1,13.838609,1
1,2014,5,67,none,1,5.599279,0
1,2014,5,68,classic-broken,1,4.722642,0
1,2014,5,69,mirror-broken,1,5.188326,0
1,2014,5,70,classic-broken,1,17.454295,1
1,2014,5,71,diagonal,1,17.726861,1
1,2014,5,72,classic-broken,1,4.076557,0
1,2014,5,73,none,1,4.585122,0
1,2014,5,74,blockwise-broken,1,19.932793,1
1,2014,5,75,blockwise-broken,3,11.859118,1
1,2014,5,76,classic-broken,1,21.657810,1
1,2014,5,77,diagonal,1,4.881135,0
1,2014,5,78,diagonal,1,4.580851,0
1,2014,5,79,classic-broken,1,5.474777,0
1,2014,5,80,rotational,1,1.735215,0
1,2014,5,81,blockwise-broken,1,4.853292,0
1,2014,5,82,classic-broken,1,5.668444,0
1,2014,5,83,classic-broken,1,35.468789,1
1,2014,5,84,rotational,1,2.588965,0
1,2014,5,85,classic-broken,2,7.138820,0
1,2014,5,86,none,1,13.739242,1
1,2014,5,87,diagonal-broken,1,17.951681,1
1,2014,5,88,mirror-broken,1,13.502526,1
1,2014,5,89,none,1,18.119618,1
1,2014,5,90,diagonal-broken,1,4.074582,0
1,2014,5,91,rotational-broken,1,12.590544,1
1,2014,5,92,blockwise-broken,3,7.047104,0
1,2014,5,93,mirror-broken,1,28.078858,1
1,2014,5,94,classic-broken,1,5.088588,0
1,2014,5,95,mirror-broken,1,7.583226,0
1,2014,5,96,mirror-broken,1,16.874465,1
1,2014,5,97,blockwise-broken,1,23.812127,1
1,2014,5,98,mirror-broken,1,4.365090,0
1,2014,5,99,classic-broken,1,10.859279,1
1,2014,5,100,rotational-broken,1,12.358558,1
1,2014,6,1,blockwise-broken,1,3.250104,0
1,2014,6,2,mirror-broken,1,5.996869,0
1,2014,6,3,diagonal-broken,3,15.424540,1
1,2014,6,4,mirror-broken,1,10.662718,1
1,2014,6,5,classic-broken,2,7.821700,0
1,2014,6,6,none,1,5.805896,0
1,2014,6,7,blockwise-broken,1,16.975086,1
1,2014,6,8,mirror-broken,1,5.826549,0
1,2014,6,9,none,1,4.206408,0
1,2014,6,10,diagonal-broken,1,20.445520,1
1,2014,6,11,diagonal,1,6.997403,0
1,2014,6,12,diagonal-broken,1,31.929779,1
1,2014,6,13,classic-broken,1,3.584011,0
1,2014,6,14,none,1,5.255356,0
1,2014,6,15,none,1,3.911427,0
1,2014,6,16,blockwise-broken,1,24.675428,1
1,2014,6,17,blockwise-broken,1,15.405169,1
1,2014,6,18,mirror-broken,1,6.447705,0
1,2014,6,19,none,1,5.389874,0
1,2014,6,20,double mirror,1,4.415715,0
1,2014,6,21,blockwise-broken,1,4.468250,0
1,2014,6,22,classic-broken,1,3.954353,0
1,2014,6,23,classic-broken,1,5.191480,0
1,2014,6,24,mirror-broken,1,4.240187,0
1,2014,6,25,rotational-broken,3,6.811650,0
1,2014,6,26,diagonal-broken,1,5.112690,0
1,2014,6,27,mirror-broken,1,11.850096,1
