Puzzle,#Runs,Fraction
1:1:2014-1:7,70,0.984807
1:1:2014-1:7,71,0.984888
1:1:2014-1:7,72,0.986433
1:1:2014-1:7,73,0.985231
1:1:2014-1:7,74,0.982897
1:1:2014-1:7,75,0.990212
1:1:2014-1:7,76,0.990592
1:1:2014-1:7,77,0.995940
1:1:2014-1:7,78,0.991603
1:1:2014-1:7,79,0.995735
1:1:2014-1:7,80,0.999404
1:1:2014-1:7,81,1.00275
1:1:2014-1:7,82,1.00084
1:1:2014-1:7,83,1.00390
1:1:2014-1:7,84,1.00470
1:1:2014-1:7,85,1.00208
1:1:2014-1:7,86,0.999904
1:1:2014-1:7,87,0.996864
1:1:2014-1:7,88,1.00140
1:1:2014-1:7,89,0.996618
1:1:2014-1:7,90,0.993758
1:1:2014-1:7,91,0.990275
1:1:2014-1:7,92,0.994233
1:1:2014-1:7,93,0.997204
1:1:2014-1:7,94,1.00350
1:1:2014-1:7,95,0.998998
1:1:2014-1:7,96,0.997281
1:1:2014-1:7,97,0.994942
1:1:2014-1:7,98,0.996995
1:1:2014-1:7,99,0.997182
1:1:2014-1:7,100,1.00000
1:1:2014-1:9,1,0.917838
1:1:2014-1:9,2,1.09978
1:1:2014-1:9,3,1.08366
1:1:2014-1:9,4,1.11406
1:1:2014-1:9,5,1.08980
1:1:2014-1:9,6,1.07270
1:1:2014-1:9,7,1.04944
1:1:2014-1:9,8,1.03177
1:1:2014-1:9,9,1.03336
1:1:2014-1:9,10,1.02992
1:1:2014-1:9,11,1.03829
1:1:2014-1:9,12,1.04139
1:1:2014-1:9,13,1.05132
1:1:2014-1:9,14,1.04152
1:1:2014-1:9,15,1.04333
1:1:2014-1:9,16,1.05773
1:1:2014-1:9,17,1.05449
1:1:2014-1:9,18,1.04679
1:1:2014-1:9,19,1.04663
1:1:2014-1:9,20,1.04019
1:1:2014-1:9,21,1.03886
1:1:2014-1:9,22,1.03668
1:1:2014-1:9,23,1.03140
1:1:2014-1:9,24,1.03009
1:1:2014-1:9,25,1.02852
1:1:2014-1:9,26,1.02389
1:1:2014-1:9,27,1.02203
1:1:2014-1:9,28,1.01824
1:1:2014-1:9,29,1.01488
1:1:2014-1:9,30,1.01417
1:1:2014-1:9,31,1.01362
1:1:2014-1:9,32,1.01266
1:1:2014-1:9,33,1.01687
1:1:2014-1:9,34,1.01513
1:1:2014-1:9,35,1.01702
1:1:2014-1:9,36,1.01492
1:1:2014-1:9,37,1.01488
1:1:2014-1:9,38,1.01233
1:1:2014-1:9,39,1.00994
1:1:2014-1:9,40,1.00764
1:1:2014-1:9,41,1.00719
1:1:2014-1:9,42,1.00728
1:1:2014-1:9,43,1.00649
1:1:2014-1:9,44,1.00439
1:1:2014-1:9,45,1.00252
1:1:2014-1:9,46,1.00290
1:1:2014-1:9,47,1.00383
1:1:2014-1:9,48,1.00250
1:1:2014-1:9,49,1.00217
1:1:2014-1:9,50,1.00567
1:1:2014-1:9,51,1.00531
1:1:2014-1:9,52,1.00540
1:1:2014-1:9,53,1.00525
1:1:2014-1:9,54,1.00521
1:1:2014-1:9,55,1.00507
1:1:2014-1:9,56,1.00497
1:1:2014-1:9,57,1.00339
1:1:2014-1:9,58,1.00209
1:1:2014-1:9,59,1.00701
1:1:2014-1:9,60,1.00540
1:1:2014-1:9,61,1.00380
1:1:2014-1:9,62,1.00507
1:1:2014-1:9,63,1.00369
1:1:2014-1:9,64,1.00902
1:1:2014-1:9,65,1.00978
1:1:2014-1:9,66,1.00843
1:1:2014-1:9,67,1.00705
1:1:2014-1:9,68,1.00674
1:1:2014-1:9,69,1.00546
1:1:2014-1:9,70,1.00505
1:1:2014-1:9,71,1.00379
1:1:2014-1:9,72,1.00264
1:1:2014-1:9,73,1.00148
1:1:2014-1:9,74,1.00243
1:1:2014-1:9,75,1.00198
1:1:2014-1:9,76,1.00091
1:1:2014-1:9,77,1.00347
1:1:2014-1:9,78,1.00238
1:1:2014-1:9,79,1.00135
1:1:2014-1:9,80,1.00253
1:1:2014-1:9,81,1.00152
1:1:2014-1:9,82,1.00040
1:1:2014-1:9,83,1.00047
1:1:2014-1:9,84,1.00013
1:1:2014-1:9,85,0.999172
1:1:2014-1:9,86,0.997954
1:1:2014-1:9,87,0.997788
1:1:2014-1:9,88,0.999465
1:1:2014-1:9,89,0.999379
1:1:2014-1:9,90,1.00139
1:1:2014-1:9,91,1.00043
1:1:2014-1:9,92,1.00046
1:1:2014-1:9,93,0.999749
1:1:2014-1:9,94,0.999911
1:1:2014-1:9,95,1.00054
1:1:2014-1:9,96,0.999641
1:1:2014-1:9,97,0.998771
1:1:2014-1:9,98,0.997917
1:1:2014-1:9,99,0.999031
1:1:2014-1:9,100,1.00000
1:1:2014-1:11,1,1.00521
1:1:2014-1:11,2,1.05253
1:1:2014-1:11,3,1.01473
1:1:2014-1:11,4,1.01373
1:1:2014-1:11,5,1.00447
1:1:2014-1:11,6,0.999600
1:1:2014-1:11,7,0.992900
1:1:2014-1:11,8,0.987167
1:1:2014-1:11,9,0.988067
1:1:2014-1:11,10,0.984749
1:1:2014-1:11,11,0.981755
1:1:2014-1:11,12,0.983302
1:1:2014-1:11,13,0.980575
1:1:2014-1:11,14,0.976210
1:1:2014-1:11,15,0.972883
1:1:2014-1:11,16,0.971896
1:1:2014-1:11,17,0.980780
1:1:2014-1:11,18,0.980611
1:1:2014-1:11,19,0.981014
1:1:2014-1:11,20,0.980726
1:1:2014-1:11,21,0.979751
1:1:2014-1:11,22,0.980483
1:1:2014-1:11,23,0.980257
1:1:2014-1:11,24,0.979071
1:1:2014-1:11,25,0.976585
1:1:2014-1:11,26,0.974388
1:1:2014-1:11,27,0.980364
1:1:2014-1:11,28,0.980976
1:1:2014-1:11,29,0.982493
1:1:2014-1:11,30,0.983978
1:1:2014-1:11,31,0.984850
1:1:2014-1:11,32,0.983818
1:1:2014-1:11,33,0.984861
1:1:2014-1:11,34,0.988363
1:1:2014-1:11,35,0.987024
1:1:2014-1:11,36,0.985913
1:1:2014-1:11,37,0.985021
1:1:2014-1:11,38,0.985673
1:1:2014-1:11,39,0.985178
1:1:2014-1:11,40,0.986963
1:1:2014-1:11,41,0.990016
1:1:2014-1:11,42,0.993129
1:1:2014-1:11,43,0.996052
1:1:2014-1:11,44,0.998793
1:1:2014-1:11,45,0.998560
1:1:2014-1:11,46,0.997520
1:1:2014-1:11,47,0.996004
1:1:2014-1:11,48,0.999419
1:1:2014-1:11,49,1.00137
1:1:2014-1:11,50,1.00053
1:1:2014-1:11,51,1.00299
1:1:2014-1:11,52,1.00228
1:1:2014-1:11,53,1.00139
1:1:2014-1:11,54,1.00113
1:1:2014-1:11,55,1.00049
1:1:2014-1:11,56,0.999653
1:1:2014-1:11,57,0.999063
1:1:2014-1:11,58,0.999484
1:1:2014-1:11,59,0.999831
1:1:2014-1:11,60,0.999568
1:1:2014-1:11,61,1.00170
1:1:2014-1:11,62,1.00103
1:1:2014-1:11,63,1.00070
1:1:2014-1:11,64,0.999772
1:1:2014-1:11,65,0.998536
1:1:2014-1:11,66,0.998660
1:1:2014-1:11,67,0.998762
1:1:2014-1:11,68,1.00001
1:1:2014-1:11,69,0.998938
1:1:2014-1:11,70,1.00044
1:1:2014-1:11,71,0.999960
